dim_s_p90_to_vh,two_dim_large_share,aspect_cv
0.4133333333333334,0.14285714285714285,0.2593108076132854
0.4,0.07692307692307693,0.35705020197254245
0.4033333333333333,0.1,0.2646243597231093
0.36999999999999994,0.3,0.40891826788417585
0.41333333333333333,0.25,0.26210301495119814
0.42,0.13333333333333333,0.4279434341418083
0.41000000000000003,0.2222222222222222,0.4063165854973083
0.4,0.18181818181818182,0.41849605896966136
0.4,0.0,0.3757127000943135
0.36666666666666664,0.38461538461538464,0.418205395108415
0.42000000000000004,0.2,0.2965684928166645
0.36666666666666664,0.2857142857142857,0.3642683910498006
0.39333333333333337,0.23076923076923078,0.25566276459799947
0.4,0.1875,0.3336407122064879
0.39333333333333337,0.25,0.3165575033768694
0.37333333333333335,0.2222222222222222,0.3569090072054929
0.4033333333333333,0.3,0.2856385382623344
0.3733333333333333,0.2,0.2480361386582154
0.35,0.16666666666666666,0.44280738255303337
0.4066666666666667,0.1111111111111111,0.45081795220253507
0.3966666666666667,0.16666666666666666,0.370508746907184
0.3433333333333333,0.0,0.39601928492688515
0.4,0.38461538461538464,0.4129203948875008
0.36999999999999994,0.4,0.2664473240844656
0.39333333333333337,0.0,0.3566701132848672
0.36999999999999994,0.3,0.33526296601150746
0.38666666666666666,0.26666666666666666,0.29166981495446903
0.38666666666666666,0.125,0.42406728671764427
0.43000000000000005,0.25,0.4829411349731094
0.4,0.3333333333333333,0.3578701843181717
0.37333333333333335,0.5555555555555556,0.3377614398083577
0.4066666666666667,0.0,0.405222919118573
0.4,0.21428571428571427,0.40062453654439933
0.36666666666666664,0.23076923076923078,0.39824527349718253
0.36666666666666664,0.14285714285714285,0.4006248594628453
0.4133333333333334,0.14285714285714285,0.4341178652271426
0.4,0.15384615384615385,0.36260613948436976
0.39,0.25,0.4727960980916125
0.35333333333333333,0.2,0.3980370969624716
0.36666666666666664,0.18181818181818182,0.3681384789817271
0.35,0.0,0.4159451654038514
0.4,0.13333333333333333,0.36126380618354065
0.35333333333333333,0.0,0.40620643046368515
0.38666666666666666,0.3333333333333333,0.38390705226511707
0.4,0.26666666666666666,0.3515628247338191
0.4,0.14285714285714285,0.3469606286975398
0.36666666666666664,0.3333333333333333,0.31453051791971304
0.4,0.16666666666666666,0.3399983458625316
0.4,0.18181818181818182,0.3756610461407439
0.36666666666666664,0.18181818181818182,0.4204949223485082
0.4,0.16666666666666666,0.401034381821417
0.36666666666666664,0.2727272727272727,0.41905178992764686
0.3366666666666666,0.2,0.3644533271489701
0.4,0.2727272727272727,0.37130486876529223
0.4,0.07142857142857142,0.41465250593339864
0.4,0.2222222222222222,0.44501863729233065
0.4066666666666667,0.3333333333333333,0.44518916311328427
0.4,0.07692307692307693,0.4186239719711279
0.4,0.16666666666666666,0.405608049351626
0.4,0.2727272727272727,0.35227029437685087
0.4,0.15384615384615385,0.40060626845030617
0.4033333333333333,0.3,0.2749568056278027
0.3966666666666667,0.16666666666666666,0.2918883385875398
0.37333333333333335,0.3333333333333333,0.38770049316322086
0.4,0.2727272727272727,0.2806723766845885
0.43000000000000005,0.16666666666666666,0.35762679915129986
0.38666666666666666,0.5,0.2800292566752415
0.4033333333333333,0.3,0.42603104212229187
0.43000000000000005,0.16666666666666666,0.42481485023794635
0.37333333333333335,0.3333333333333333,0.3402777065839572
0.39000000000000007,0.2857142857142857,0.3999275907383035
0.4,0.36363636363636365,0.4325287780544988
0.4,0.08333333333333333,0.3756329720920074
0.4033333333333333,0.1,0.3755322274866365
0.4,0.18181818181818182,0.4713207056190228
0.4,0.18181818181818182,0.3578441572384938
0.38,0.23529411764705882,0.34382733491326606
0.39000000000000007,0.2857142857142857,0.3574312998244007
0.4133333333333334,0.14285714285714285,0.3820064764920858
0.3733333333333333,0.1,0.3984990237554493
0.4,0.2222222222222222,0.3390101157942933
0.36666666666666664,0.14285714285714285,0.370677039714526
0.4,0.21428571428571427,0.3553269296343553
0.4,0.14285714285714285,0.3981667982668592
