spare_cap_sq,spare_cap_x_conc,spare_cap_x_wl_total,vol_top3_share,n_high_asr_items,spare_cap_log1p,h_to_H_max_sq,l_std_x_h_max,max_fp_ratio,spare_cap_x_wl_max,wl_total_over_wl_max,max_dim_l_to_vL,spare_cap_x_sku_counts,n_items_near_vL,n_tall_items,n_wide_items,n_multi_dim_stress,spare_cap_x_n_near_vL,q90_l_to_L,spare_cap_x_n_wide,height_tail_share
31990336,1088.599873368,6174466.668552,0.4934424562830419,0,8.640648995343156,0.09,0.0211301769,0.17,1095850.0,5.634408603841887,0.5333333333244444,45248,3,6,3,6,16968,0.5216666666666667,16968,0.0
132894784,1484.384279224,10226296.6662824,0.5800071701720841,0,9.352620879232953,0.09,0.0160078107,0.17,2233550.0,4.578494623460241,0.5333333333244444,69168,3,5,2,5,34584,0.525,23056,0.0
209467729,3734.280069946,13182490.832850901,0.5952435548858388,1,9.580109215426074,0.09,0.029414866499999998,0.17,2804143.75,4.701075268620898,0.5166666666580556,115784,2,4,3,4,28946,0.5166666666666667,43419,0.0
48094225,2044.8370815100002,9142641.664355,0.3515828188624721,2,8.844480518460378,0.09,0.0387627531,0.12133333333333333,1170281.25,7.812345676990742,0.5999999999900001,97090,3,3,2,6,20805,0.5333333333333333,13870,0.0
949009636,8661.807952142,14799715.8343602,0.6790193039312385,1,10.335497215866404,0.0802777775888889,0.04229546105024064,0.088,4094630.8343602004,3.6144200620130778,0.5999999999900001,184836,1,1,0,3,30806,0.5416666666666666,0,0.0
445632100,6002.50202999,16263495.834036998,0.5017999162829636,2,9.957549510634658,0.0802777775888889,0.040363739152513255,0.12,2805870.8340370003,5.79623824326768,0.5999999999900001,189990,2,2,0,4,42220,0.5466666666666666,0,0.0
26071236,-1427.706566742,-8388732.501702,0.3735480780744821,2,0.0,0.09,0.031488974999999995,0.17,-989287.5,8.479569894149783,0.5333333333244444,-76590,4,5,4,6,-20424,0.5266666666666667,-20424,0.0
1064455876,9395.32797995,13770890.8322458,0.7788912235332148,1,10.392895445428055,0.0802777775888889,0.042803239149643256,0.088,4336539.1677542,3.175548588270642,0.5999999999900001,163130,1,1,0,3,32626,0.5533333333333333,0,0.0
525784900,6572.22111217,16328070.832569001,0.5431807884005437,2,10.040244985890988,0.0802777775888889,0.03957503265344114,0.12,3047779.167431,5.357366769525245,0.5999999999900001,183440,2,2,0,4,45860,0.5533333333333333,0,0.0
70073641,2456.1439916309996,10080079.169457,0.4428458325370608,0,9.03264808356589,0.0802777775888889,0.03865476145452381,0.13,1496316.25,6.736596738423851,0.5833333333236111,108823,3,2,3,5,25113,0.5433333333333334,25113,0.0
