height_layer_pressure,footprint_sum_ratio,length_sum_pressure
3.8666666666666667,2.5566666666666666,4.933333333333334
4.066666666666666,3.0073333333333334,5.633333333333334
2.3,1.4066666666666667,2.8833333333333333
3.8333333333333335,2.8026666666666666,5.4
1.2333333333333334,0.7606666666666667,1.6333333333333333
1.4333333333333333,0.8973333333333333,1.8166666666666667
3.033333333333333,2.506666666666667,4.716666666666667
0.5666666666666667,0.29133333333333333,0.6333333333333333
4.1,3.2506666666666666,6.0
1.5333333333333334,0.8733333333333333,1.9333333333333333
4.233333333333333,3.578,6.466666666666667
4.2,3.75,6.566666666666666
4.033333333333333,2.9013333333333335,5.733333333333333
2.3333333333333335,2.244666666666667,3.95
3.466666666666667,2.61,5.1
3.3333333333333335,2.1166666666666667,4.383333333333334
3.066666666666667,2.2813333333333334,4.4
3.4,2.466,4.65
3.466666666666667,2.3506666666666667,4.4
2.6666666666666665,2.3226666666666667,4.283333333333333
3.1333333333333333,2.6006666666666667,4.683333333333334
4.033333333333333,2.731333333333333,5.166666666666667
2.8333333333333335,1.78,3.5833333333333335
2.7333333333333334,1.9446666666666668,3.683333333333333
3.966666666666667,2.566666666666667,4.833333333333333
3.7333333333333334,2.2006666666666668,4.35
3.1666666666666665,2.5353333333333334,4.65
3.8666666666666667,2.694,5.066666666666666
2.8333333333333335,2.3986666666666667,4.35
3.2,2.8226666666666667,5.066666666666666
2.6,2.032,3.9833333333333334
3.2,2.582666666666667,4.783333333333333
3.566666666666667,2.6446666666666667,4.766666666666667
2.2,2.2946666666666666,3.85
3.0,2.1073333333333335,3.966666666666667
3.7666666666666666,2.288,4.35
2.3666666666666667,2.21,3.9833333333333334
3.966666666666667,3.258,5.933333333333334
3.3333333333333335,2.514,4.683333333333334
3.566666666666667,2.482666666666667,4.866666666666666
3.0,2.191333333333333,4.233333333333333
3.433333333333333,2.1033333333333335,4.1
3.2666666666666666,2.5113333333333334,4.766666666666667
4.566666666666666,3.8973333333333335,7.1
3.933333333333333,3.1533333333333333,5.85
2.1333333333333333,1.6253333333333333,2.9833333333333334
3.0,1.7546666666666666,3.4
2.566666666666667,2.086,3.9833333333333334
2.0,1.1886666666666668,2.45
4.1,3.010666666666667,5.716666666666667
4.066666666666666,2.763333333333333,5.416666666666667
4.333333333333333,3.308666666666667,6.283333333333333
4.466666666666667,3.0726666666666667,5.7
2.9,2.215333333333333,4.116666666666666
2.566666666666667,2.406,4.583333333333333
3.533333333333333,2.9593333333333334,5.366666666666666
3.6666666666666665,2.9093333333333335,5.466666666666667
3.6333333333333333,2.592,4.85
2.6666666666666665,2.254,4.366666666666666
3.5,2.472,4.783333333333333
3.6,2.3446666666666665,4.55
3.433333333333333,2.8806666666666665,5.35
2.8666666666666667,1.8786666666666667,3.683333333333333
2.7333333333333334,2.432,4.266666666666667
4.0,2.644,5.166666666666667
3.533333333333333,2.719333333333333,5.083333333333333
3.9,2.7813333333333334,5.066666666666666
3.6333333333333333,2.832,5.133333333333334
3.1333333333333333,2.473333333333333,4.8
3.533333333333333,2.5573333333333332,4.766666666666667
3.9,2.9673333333333334,5.75
3.033333333333333,2.042,3.933333333333333
2.8,1.7593333333333334,3.4166666666666665
2.966666666666667,2.692,4.983333333333333
1.8,1.1933333333333334,2.466666666666667
1.4666666666666666,1.146,2.2
4.933333333333334,3.8093333333333335,7.166666666666667
1.7,1.444,2.7666666666666666
4.833333333333333,4.217333333333333,7.633333333333334
3.7333333333333334,2.93,5.633333333333334
2.066666666666667,1.9246666666666667,3.4166666666666665
2.533333333333333,2.3433333333333333,4.283333333333333
5.9,4.110666666666667,7.75
2.533333333333333,1.336,2.533333333333333
3.9,2.8553333333333333,5.45
1.8666666666666667,1.3013333333333332,2.6333333333333333
5.366666666666666,3.84,7.266666666666667
4.0,2.993333333333333,5.466666666666667
3.7333333333333334,2.8266666666666667,5.283333333333333
3.7,2.892,5.316666666666666
4.433333333333334,2.985333333333333,5.7
3.6,2.56,5.2
2.1666666666666665,2.2626666666666666,4.2
3.1,2.5286666666666666,4.683333333333334
2.533333333333333,2.304,4.266666666666667
3.6333333333333333,2.422,4.883333333333334
3.7666666666666666,3.017333333333333,5.65
3.8666666666666667,2.89,5.416666666666667
3.066666666666667,2.594,4.716666666666667
3.0,1.8286666666666667,3.783333333333333
2.6333333333333333,2.3193333333333332,4.4
3.2333333333333334,2.473333333333333,4.45
2.5,2.3693333333333335,4.3
3.6666666666666665,2.6693333333333333,5.183333333333334
3.4,2.226,4.366666666666666
3.2333333333333334,3.012,5.516666666666667
1.7333333333333334,1.466,2.7333333333333334
2.433333333333333,1.9373333333333334,3.716666666666667
1.7,1.5006666666666666,2.7
4.366666666666666,3.674,6.883333333333334
1.4333333333333333,1.1806666666666668,2.1666666666666665
3.0,2.8273333333333333,5.083333333333333
2.566666666666667,2.486,4.55
3.2,2.99,5.516666666666667
2.9,1.6166666666666667,3.3833333333333333
3.033333333333333,3.1326666666666667,5.65
2.7666666666666666,2.812666666666667,5.116666666666666
2.7,2.41,4.283333333333333
3.2666666666666666,2.550666666666667,4.783333333333333
2.3,2.1006666666666667,4.0
3.6333333333333333,2.524,4.933333333333334
4.0,2.654,4.833333333333333
2.2333333333333334,2.372,4.183333333333334
2.533333333333333,1.4393333333333334,2.8833333333333333
3.6,2.834,5.216666666666667
3.433333333333333,2.5033333333333334,4.666666666666667
2.1666666666666665,1.9193333333333333,3.566666666666667
3.9,3.255333333333333,6.016666666666667
1.9,1.5993333333333333,3.033333333333333
3.5,2.812,5.316666666666666
3.033333333333333,2.0533333333333332,3.9166666666666665
4.766666666666667,2.9846666666666666,5.866666666666666
3.0,2.4273333333333333,4.516666666666667
2.3,1.6426666666666667,3.1666666666666665
4.6,2.9673333333333334,5.683333333333334
3.3,2.208666666666667,4.116666666666666
1.0,0.566,0.95
3.2666666666666666,2.408,4.416666666666667
3.3,2.485333333333333,4.75
2.9,1.956,4.016666666666667
2.8,2.464,4.383333333333334
3.1666666666666665,2.3353333333333333,4.483333333333333
2.3333333333333335,1.948,3.7333333333333334
3.2333333333333334,3.0046666666666666,5.35
1.8666666666666667,1.0653333333333332,2.35
2.5,1.8093333333333332,3.6
3.3,3.0453333333333332,5.45
2.7666666666666666,2.1293333333333333,4.133333333333334
3.033333333333333,2.7253333333333334,4.916666666666667
4.1,3.418,6.45
1.7,1.4366666666666668,2.6
4.3,2.898,5.466666666666667
1.9,0.9273333333333333,2.033333333333333
5.0,3.6826666666666665,6.816666666666666
4.133333333333334,2.8806666666666665,5.283333333333333
4.9,3.421333333333333,6.4
4.466666666666667,3.08,5.866666666666666
2.433333333333333,1.53,2.9833333333333334
3.7666666666666666,2.2953333333333332,4.516666666666667
0.6333333333333333,0.504,0.9666666666666667
3.466666666666667,2.514,4.916666666666667
4.266666666666667,3.7986666666666666,7.116666666666666
2.9,2.279333333333333,4.216666666666667
2.9,2.5753333333333335,4.833333333333333
4.6,3.8,6.75
3.066666666666667,2.6906666666666665,5.133333333333334
2.433333333333333,1.9466666666666668,3.8833333333333333
1.2666666666666666,1.0446666666666666,1.9666666666666666
3.7,3.072,5.666666666666667
1.7,1.54,2.95
3.2333333333333334,2.3493333333333335,4.416666666666667
2.0,1.8706666666666667,3.3666666666666667
1.9333333333333333,1.8106666666666666,3.183333333333333
1.8333333333333333,1.93,3.316666666666667
3.933333333333333,2.344,4.716666666666667
2.566666666666667,2.0233333333333334,3.7
1.4666666666666666,1.2393333333333334,2.1666666666666665
4.633333333333334,3.1286666666666667,6.066666666666666
1.8666666666666667,1.2386666666666666,2.35
2.1,1.7826666666666666,3.3833333333333333
1.6666666666666667,1.4413333333333334,2.85
4.4,3.9793333333333334,7.45
3.7,3.1946666666666665,6.1
2.1,1.66,2.95
4.9,3.478,6.583333333333333
4.866666666666666,3.4006666666666665,6.25
1.6333333333333333,0.9666666666666667,2.1666666666666665
2.7333333333333334,1.7086666666666666,3.4166666666666665
3.7666666666666666,2.6586666666666665,5.0
2.7666666666666666,2.4526666666666666,4.416666666666667
1.5333333333333334,1.172,2.183333333333333
4.6,3.9353333333333333,7.416666666666667
0.9666666666666667,0.534,1.0666666666666667
4.033333333333333,3.2973333333333334,6.3
0.5,0.7053333333333334,1.1
4.066666666666666,2.804,5.383333333333334
1.8666666666666667,1.7013333333333334,3.2
3.2,2.364,4.583333333333333
4.533333333333333,3.656,6.633333333333334
1.0333333333333334,0.8133333333333334,1.85
3.2,2.3673333333333333,4.366666666666666
2.7666666666666666,2.2213333333333334,4.316666666666666
5.433333333333334,3.692,6.883333333333334
1.0666666666666667,0.6753333333333333,1.5333333333333334
3.533333333333333,2.6333333333333333,4.8
2.4,1.6753333333333333,3.466666666666667
2.8666666666666667,2.070666666666667,3.8333333333333335
