three_dim_near_limit_share,vol_top3_concentration,spare_x_wlstd
0.0,0.6169207402823873,866389.3862863401
0.0,0.3098729227761486,-207345.28076999998
0.0,0.3908801640939333,237284.10306118
0.0,0.561171032357473,585220.7058906
0.0,0.47108171033667173,506480.30513926997
0.0,0.2719540524226738,-332477.01136382
0.0,0.590760733115742,539770.6706746
0.0,0.3778096479791395,244161.580614
0.0,0.62373611801757,906541.22125539
0.0,0.28910360474895846,-210465.24244152
0.0,0.357020361827009,123177.85165899001
0.0,0.4012958963282937,291863.3214236
0.0,0.40460720614294154,283605.32678494
0.0,0.3827172703671653,166638.76461420002
0.0,0.3626605389070763,404194.88631008
0.0,0.4700826716869935,543471.72277216
0.0,0.39916690156284257,290984.48031528
0.0,0.5188378880339612,509668.90348544
0.0,0.37354718735471876,450975.25628802
0.0,0.3703353440343523,216717.74525284002
0.0,0.373606376707589,223390.59958222
0.0,0.40301851563715574,282400.59569895
0.0,0.45504303335580853,651407.65445736
0.0,0.45792619635634774,454348.68105330004
0.0,0.45802686766761896,440878.5606836
0.0,0.5221029053297319,502910.37861678004
0.0,0.3844275797152606,341012.79192540003
0.0,0.49853571318474676,475755.01015044
0.0,0.3615634275569364,265527.53339885
0.0,0.6893378464142162,586767.9316114
0.0,0.5107561509725621,563188.20825753
0.0,0.6658492975734355,628475.7005190001
0.0,0.33025973737418624,-241.6213982
0.0,0.8101048617731172,779179.670961
0.0,0.42130325104163713,338796.84898356
0.0,0.4125065502183406,452768.2564575
0.0,0.3702081658674502,240761.22065742
0.0,0.4862316107129385,705130.73819552
0.0,0.36453642847154244,233437.1682134
0.0,0.4008773304088986,342114.25730215
0.0,0.4081968937348806,324294.84380077
0.0,0.3912062765609676,437376.74343770003
0.0,0.48546069315300083,485398.5806824
0.0,0.41473199044042336,388289.14621932
0.0,0.39639035640537423,261980.71198717
0.0,0.48886055059635436,503768.7571647
0.0,0.565113386278825,521940.76817055995
0.0,0.3475547970774892,186973.53756554
0.0,0.37992560368198725,299624.59095858
0.0,0.5449224465905765,592422.06016377
0.0,0.36554115535007253,147931.01317020002
0.0,0.6348423726281189,737211.92522679
0.0,0.37854130783393714,331855.27345767996
0.0,0.5091347688814786,628717.0566866901
0.0,0.2955881613989247,158320.26628872
0.0,0.4394867750545984,450928.08401920006
0.0,0.5852958998182185,794906.44203245
0.0,0.3107993871189306,192370.8080718
0.0,0.44537182114017115,417757.60724668
0.0,1.0,155545.787686977
0.0,0.45461218497675554,449204.57960096
0.0,0.38707872564507634,447261.56685
0.0,0.4492890995260663,666468.3364799999
0.0,0.47294752698970627,501597.48100016004
0.0,0.464413151522875,525302.6327989601
0.0,0.5017638431963217,569972.71940477
0.0,0.42204766342697375,266866.32339559996
0.0,0.6763723787899025,813674.52355632
0.0,0.47900154869272116,670862.9018783399
0.0,0.4086315355264515,215898.39495104
0.0,0.4577808792742498,538316.10620568
0.0,0.4535309602838503,364390.76904384
0.0,0.32214959357437467,98106.32090727
0.0,0.7392521910491107,1106829.0055339101
0.0,0.3619631901840491,142599.7568718
0.0,0.6792792792792792,943407.6106752
0.0,0.30164945525370773,-150419.97256175
0.0,0.3799836434267021,199948.77570144
0.0,0.3159481008058483,-60349.67335236
0.0,0.2888329553667107,142125.29917773
0.0,0.652255137443288,930913.96533858
0.0,0.36316350191138685,384229.34392896004
0.0,1.0,15645.000012516
0.0,0.35618729096989965,427226.71878470003
0.0,0.3332339283432028,-66601.00596142
0.0,0.4565373440437532,418100.3518396
0.0,0.4542192015752533,495488.82841171
0.0,0.28342712378262763,-85728.46377403001
0.0,0.38522940702978264,412718.70170544
0.0,0.5029777544228411,589948.7495496001
0.0,0.7769977286805699,719854.7027477401
0.0,0.3473576335032129,249545.78513536
0.0,0.7055747409965466,915809.2810190001
0.0,0.4808077645585473,473932.60641560005
0.0,0.5639085239085239,520641.0277515
0.0,0.5899293286219082,629344.883102
0.0,0.603207360591599,848415.30048498
0.0,0.3390177138721958,385851.79058147996
0.0,0.545732859626578,725449.65023826
0.0,0.743071978655024,774815.08693602
0.0,0.2694019401940194,145654.63641468
