spare_x_wlmax,total_footprint_ratio,cross_dim_pressure_count
2037163.3328041998,2.3806666666666665,0
3009566.6673748,1.6553333333333333,0
2195200.0003584,2.616,0
2721133.3337776,2.16,0
3077818.3325338997,1.7206666666666666,0
2809858.3326034998,1.8406666666666667,0
3795825.0,1.808,0
1361750.0,2.876,0
2197037.5003587003,2.300666666666667,0
314008.3333846,3.0953333333333335,0
4421835.0,1.6546666666666667,0
3386790.0,2.0753333333333335,0
2111175.0,2.5973333333333333,0
1493414.9996121,2.5893333333333333,0
1631291.6670505002,2.708666666666667,0
2633399.999316,1.9073333333333333,0
3351975.0,2.0533333333333332,0
2635791.667097,2.2893333333333334,0
2996554.1671559,2.028,0
3707220.0,1.8846666666666667,0
3449804.1672299,1.93,0
1692588.3328936999,2.4026666666666667,0
2207975.0,2.306,0
2720425.0006401003,2.1513333333333335,0
1614141.6669302,2.6373333333333333,0
1378941.6668918,2.7973333333333334,0
4696875.0,0.5166666666666667,0
4087380.0,1.6286666666666667,0
3921390.0,1.8593333333333333,0
2341791.667049,2.196,0
2657013.3326431997,2.0166666666666666,0
2786190.0,2.318,0
2597466.6674087998,1.8486666666666667,0
3224430.0,1.9226666666666667,0
2538404.1670811,2.1486666666666667,0
2911212.5004753,2.1573333333333333,0
2391525.0,2.0793333333333335,0
2069759.9994623999,2.219333333333333,0
2504950.0005894,2.239333333333333,0
4119885.0,1.5926666666666667,0
2189879.9994312,2.259333333333333,0
1062279.1668401,3.0653333333333332,0
672320.8334431,3.1266666666666665,0
2911750.0,1.838,0
3468566.6674828003,1.4393333333333334,0
1524758.3336921001,2.778,0
2914200.0,1.606,0
2536893.3326744,1.9766666666666666,0
2179155.0,2.6406666666666667,0
2420538.75,0.49933333333333335,0
1936770.0,2.666,0
3617016.6672572,1.9213333333333333,0
3330462.5,1.3166666666666667,0
4355835.0,1.6813333333333333,0
3451470.0,2.1806666666666668,0
2498430.0,2.222,0
1855956.6661846,2.485333333333333,0
1455708.333571,2.664,0
1164362.5001901,2.6386666666666665,0
4698000.0,0.216,0
1874658.3336394,2.5553333333333335,0
2469390.0,2.724666666666667,0
2981233.3340348,1.8946666666666667,0
2700060.0,2.3673333333333333,0
2654.1666671000003,3.3406666666666665,0
144540.0,3.6186666666666665,0
2052691.6670018001,2.656,0
2327196.6660622,2.4606666666666666,0
2054733.3338168,2.558,0
3156615.0,2.268,0
2301233.3338748002,2.2786666666666666,0
2493191.6672533,2.056,0
2422200.0,2.4633333333333334,0
1815275.0,2.6726666666666667,0
2909550.0006846003,1.8726666666666667,0
3430680.0,1.8873333333333333,0
1991733.3328159999,2.25,0
2767033.3339844,2.1033333333333335,0
2514516.6670772,2.2906666666666666,0
2838716.6673346004,2.1253333333333333,0
1972000.000464,2.3786666666666667,0
3283612.5005361,1.7706666666666666,0
2604258.3339461,2.276666666666667,0
3669025.0008633,1.5833333333333333,0
2172625.0,2.0493333333333332,0
2622876.6659854,2.2046666666666668,0
2325015.0,2.4326666666666665,0
3838725.0,1.8633333333333333,0
1478779.1669081,2.424,0
4242150.0,1.842,0
3753915.0,1.9693333333333334,0
4679295.8340973,1.3293333333333333,0
5425691.667943301,0.5453333333333333,0
1743885.0,3.014,0
2995000.0,1.6233333333333333,0
1707915.0,3.0073333333333334,0
3425216.6674726,1.63,0
2731545.8337793,2.0533333333333332,0
2771425.0006521,1.9126666666666667,0
2608225.0006137,2.0726666666666667,0
2904025.0006833,1.9526666666666668,0
2189715.0,2.558,0
2197533.3338504,2.5006666666666666,0
2647608.3339563003,2.2573333333333334,0
3731310.0,1.9553333333333334,0
1983758.3338001,2.562,0
2668380.0,2.3953333333333333,0
3219315.0,2.1853333333333333,0
4074758.3339986,1.6273333333333333,0
2247400.0005288003,2.3613333333333335,0
3730737.5006091003,1.8026666666666666,0
2021725.0004757,2.3633333333333333,0
3560258.3339146003,1.8286666666666667,0
1655791.6669370001,2.6733333333333333,0
2223170.8336963,2.63,0
2617825.0004274,2.312666666666667,0
3311175.0005406,1.8746666666666667,0
3042433.3340492,2.086,0
2612280.0,2.508,0
2388641.6672287,2.3686666666666665,0
3327885.0,1.9766666666666666,0
2663758.3339601,2.178,0
2328858.3338813,2.294,0
5601090.0,0.9533333333333334,0
603075.0,3.5753333333333335,0
1652320.8336031002,2.7426666666666666,0
