q90_l_to_L,spare_cap_x_n_wide,height_tail_share
0.5133333333333333,40104,0.0
0.4533333333333333,33482,0.0
0.5383333333333333,19977,0.0
0.49833333333333335,26144,0.0
0.5333333333333333,30138,0.0
0.5433333333333333,5822,0.0
0.5333333333333333,7773,0.0
0.5333333333333333,33082,0.0
0.5333333333333333,0,0.0
0.5333333333333333,7335,0.0
0.5333333333333333,30136,0.0
0.5333333333333333,22684,0.0
0.5166666666666666,6574,0.0
0.5333333333333333,0,0.0
0.5333333333333333,4218,0.0
0.5333333333333333,13796,0.0
0.5333333333333333,-14918,0.0
0.48333333333333334,26272,0.0
0.5333333333333333,2640,0.0
0.5333333333333333,-29980,0.0
0.4733333333333334,18812,0.0
0.48333333333333334,30255,0.0
0.5333333333333333,34612,0.0
0.5333333333333333,-39208,0.0
0.3866666666666667,37193,0.0
0.5333333333333333,-228,0.0
0.5333333333333333,24411,0.0
0.46,0,0.0
0.39666666666666667,39618,0.0
0.54,26045,0.0
0.5333333333333333,14008,0.0
0.495,36206,0.0
0.535,19065,0.0
0.5333333333333333,9540,0.0
0.5533333333333333,0,0.0
0.5333333333333333,11613,0.0
0.5066666666666667,21774,0.0
0.55,22550,0.0
0.5333333333333333,0,0.0
0.52,7666,0.0
0.4916666666666667,0,0.0
0.5333333333333333,-7238,0.0
0.5566666666666666,0,0.0
0.52,1450,0.0
0.53,6107,0.0
0.54,23151,0.0
0.5333333333333333,14320,0.0
0.5333333333333333,14938,0.0
0.51,0,0.0
0.49833333333333335,18518,0.0
0.5,26731,0.0
0.475,54894,0.0
0.5333333333333333,18186,0.0
0.5333333333333333,7311,0.0
0.45333333333333337,54934,0.0
0.5433333333333333,0,0.0
0.5366666666666666,18593,0.0
0.5333333333333333,28912,0.0
0.545,8590,0.0
0.5333333333333333,18960,0.0
0.5066666666666667,0,0.0
0.535,14753,0.0
0.4766666666666666,36592,0.0
0.5333333333333333,24914,0.0
0.5466666666666667,16270,0.0
0.5316666666666667,0,0.0
