spare_cap_x_wl_total,spare_cap_x_sku_counts,spare_cap_sq,hH_x_lL,big_piece_share
16270388.749454701,163590,267616881,0.08749999986,0.3
19479000.0,217440,583705600,0.06550068586042525,0.0
15989100.000668999,140490,402804900,0.10781746056587302,0.42857142857142855
4390400.001371999,41160,1694145600,0.13333333325,1.0
15018320.832769,152370,286624900,0.10456790127469136,0.2222222222222222
9594474.169126,103292,54434884,0.0785204083867347,0.14285714285714285
13008187.5,130900,171348100,0.10728888897111111,0.3
9301214.163949,89683,66471409,0.11134297522369146,0.45454545454545453
18526415.4160281,191570,366990649,0.07149999987,0.2
18287919.9993672,208824,360392256,0.07640036734508723,0.18181818181818182
13333128.329484,138576,133356304,0.08707561744938272,0.16666666666666666
15331250.00055,148500,272250000,0.095329218081893,0.3333333333333333
15366720.0,176077,256224049,0.09128099183264463,0.18181818181818182
12859687.496259,134676,125955729,0.07524112656234568,0.16666666666666666
13688000.0,141600,139240000,0.07887731492546296,0.16666666666666666
13190497.5,141012,138086001,0.07744984567376542,0.25
12872675.0,138540,133287025,0.07908179024876544,0.25
12846881.25,104517,1213755921,0.10222222219999999,0.6666666666666666
6646293.3320552,38344,1470262336,0.14222222231111112,1.0
17640320.0,184608,420742144,0.0741563785325103,0.1111111111111111
9989134.997049,106236,78375609,0.09876157387592592,0.25
-103386.25,-1095,5329,0.09209876524123457,0.26666666666666666
16084932.4991682,174678,622702116,0.06904761893095239,0.0
10067291.669468,109252,70627216,0.08861111125299145,0.23076923076923078
14181483.3323553,146705,860894281,0.08319999987000001,0.2
17948638.3327074,206558,352613284,0.0781818182,0.18181818181818182
4061271.66680318,40954,1677230116,0.16055555546111114,1.0
14850487.5,151150,228463225,0.084,0.3
16639247.494626,177342,259918884,0.083939394,0.18181818181818182
13407940.000482298,144690,209351961,0.1112222221461111,0.3
16677010.0006956,166944,435473424,0.09453124993124999,0.375
16814935.0,186362,287031364,0.0708172635372819,0.09090909090909091
10468967.0821071,110361,1353283369,0.0999999999,0.0
8384291.6678862,73172,1338535396,0.1291666665,0.5
14563734.165910602,158774,514473124,0.11619614505861676,0.42857142857142855
12451813.3345136,106224,1253726464,0.08657407387592593,0.0
16124360.832623402,170384,453604804,0.10495659730486112,0.25
14012826.670776,147936,151979584,0.0811111112,0.25
16292000.000814598,146628,597215844,0.10872685183703705,0.5
9728775.0,111186,1373591844,0.06999999999999999,0.0
9981372.919244999,108290,59830225,0.0758545920739796,0.14285714285714285
12826172.5011129,133548,1114691769,0.06772569426388889,0.0
13337067.496251,146211,126495009,0.07564102560000001,0.23076923076923078
14011875.0,141000,1242562500,0.05623263883611112,0.0
17318466.6660796,176120,310182544,0.07962499993500001,0.2
15770533.3327424,177280,314281984,0.094241666595,0.2
12538405.829621,122507,124032769,0.10439393959393939,0.36363636363636365
16116266.6672224,166720,277955584,0.0793222222861111,0.2
16186051.25,161608,408080401,0.09592013880486111,0.375
14666812.5,161100,180230625,0.08647569435,0.16666666666666666
19045415.0006418,231048,370716516,0.068975694525,0.08333333333333333
