pressure_product,max_dim_l_to_min_floor,count_vol_fill_interaction
5.048266666666667,1.36,5.150933333333334
6.322000000000001,1.36,6.451777777777777
8.618133333333333,1.28,8.912
5.230333333333333,1.36,5.1776
12.9234,1.36,12.644177777777779
8.379999999999999,1.36,8.228488888888888
8.854844444444446,1.28,9.088
6.574,1.28,6.631777777777778
7.221444444444445,1.32,7.188866666666666
8.20368888888889,1.28,8.233622222222223
17.797822222222223,1.36,17.872666666666664
12.40311111111111,1.36,12.54711111111111
3.4673777777777777,1.28,3.5477555555555553
5.263999999999999,1.28,5.390888888888888
5.354066666666666,1.32,5.2623999999999995
2.3773333333333335,1.28,2.461822222222222
12.343733333333333,1.28,12.647288888888887
11.237555555555554,1.28,11.439555555555556
14.337555555555555,1.32,14.453666666666667
13.724577777777778,1.28,13.877666666666666
6.424466666666666,1.28,6.436222222222222
6.175400000000001,1.36,6.1446
10.456311111111111,1.28,10.383533333333332
10.667555555555555,1.28,10.429688888888888
9.4176,1.28,9.682133333333333
6.010666666666666,1.28,6.162888888888888
8.652,1.28,8.675466666666667
8.4408,1.28,8.646933333333333
9.890288888888888,1.32,10.127733333333333
5.385511111111112,1.32,5.5264
6.647466666666666,1.36,6.569555555555555
10.576,1.28,10.512133333333333
9.60831111111111,1.28,9.710666666666667
10.8472,1.28,10.803288888888888
10.2896,1.28,10.352622222222223
7.749777777777777,1.28,8.076933333333333
9.03591111111111,1.28,9.350133333333332
11.5726,1.32,11.419333333333332
6.194066666666666,1.28,6.406
4.9261333333333335,1.28,4.9483999999999995
7.986266666666667,1.36,7.873311111111112
2.148,1.28,2.174533333333333
1.6807999999999998,1.36,1.6742222222222223
18.792711111111114,1.32,18.637666666666668
2.4547999999999996,1.36,2.3702666666666667
20.383777777777777,1.36,20.46
10.938666666666668,1.28,10.985577777777777
3.977644444444445,1.36,4.038222222222222
5.936444444444444,1.36,6.013111111111112
24.252933333333335,1.32,24.298222222222222
3.384533333333333,1.08,3.5404444444444443
11.1358,1.32,11.078888888888889
2.4291555555555555,1.32,2.4132
20.607999999999997,1.32,20.4508
11.973333333333333,1.32,11.960288888888888
10.552888888888889,1.28,10.700444444444445
10.7004,1.36,10.759955555555557
13.234977777777777,1.28,13.481666666666667
9.216000000000001,1.28,9.177422222222223
4.902444444444444,1.36,4.8868
7.838866666666667,1.28,7.804866666666667
5.836799999999999,1.28,6.0304
8.799933333333334,1.28,8.6996
11.365288888888887,1.32,11.302488888888888
11.174666666666667,1.32,11.271577777777777
7.954933333333334,1.36,7.855222222222222
5.486,1.32,5.602888888888888
6.107577777777777,1.36,6.208666666666667
7.997111111111111,1.36,8.04271111111111
5.923333333333334,1.36,6.0716
9.787555555555555,1.28,9.821066666666667
7.5684,1.28,7.9295333333333335
9.7388,1.36,9.613066666666667
2.5410666666666666,1.36,2.5210666666666666
4.714177777777778,1.28,4.6578
2.551133333333333,1.36,2.61
16.04313333333333,1.28,16.002488888888887
1.692288888888889,1.36,1.7483333333333335
8.482,1.28,8.624244444444443
6.3807333333333345,1.28,6.361111111111111
9.568000000000001,1.28,9.620533333333334
4.6883333333333335,1.28,4.712888888888889
9.502422222222222,1.36,9.534666666666666
7.781711111111112,1.36,7.801444444444444
6.507000000000001,1.36,6.338444444444445
8.332177777777778,1.36,8.157333333333334
4.831533333333333,1.36,4.732
9.170533333333333,1.32,9.3728
10.616,1.28,10.772377777777777
5.297466666666667,1.36,5.3324
3.646311111111111,1.2,3.715911111111111
10.2024,1.36,10.000533333333333
8.594777777777777,1.28,8.4592
4.158555555555555,1.36,4.252266666666666
12.695799999999998,1.28,12.65071111111111
3.038733333333333,1.36,3.1233999999999997
9.841999999999999,1.36,9.728044444444444
6.228444444444444,1.28,6.264222222222222
14.22691111111111,1.32,14.151822222222222
7.282,1.32,7.3262222222222215
3.7781333333333333,1.32,3.8507777777777776
13.649733333333332,1.28,13.4592
7.2886,1.32,7.375111111111111
0.566,1.04,0.5622
7.866133333333333,1.28,7.992355555555555
8.2016,1.28,8.1024
5.6724,1.32,5.626666666666667
6.8991999999999996,1.36,7.080888888888889
7.3952222222222215,1.28,7.672622222222222
4.545333333333334,1.36,4.485155555555555
9.71508888888889,1.36,10.014666666666667
1.988622222222222,1.2,1.9965333333333335
4.523333333333333,1.2,4.3908000000000005
10.0496,1.36,10.343466666666668
5.891155555555556,1.28,5.732
8.266844444444445,1.36,8.542844444444444
14.0138,1.28,13.819666666666667
2.4423333333333335,1.36,2.571066666666667
12.4614,1.32,12.7792
