footprint_pressure,spare_cap_x_n_tall_items,n_long_tall_items
0.8393333333333334,31664,0
0.844,33722,0
0.696,20169,0
0.7753333333333333,37606,0
0.77,32878,0
0.2673333333333333,0,0
1.2226666666666666,10965,0
1.0166666666666666,16186,0
0.6813333333333333,39944,0
0.892,29114,0
0.8326666666666667,32070,0
0.9413333333333334,39624,0
0.24666666666666667,0,0
0.572,22262,0
1.02,25248,0
0.9846666666666667,24270,0
0.9486666666666667,35901,0
1.11,6928,0
1.074,14682,0
0.8553333333333333,31126,0
0.9573333333333334,17250,0
0.976,8982,0
0.996,29535,0
1.0146666666666666,20404,0
0.6886666666666666,44886,0
0.8046666666666666,30652,0
0.7073333333333334,19838,0
0.768,32664,0
0.8273333333333334,29708,0
0.798,34540,0
0.8093333333333333,34374,0
0.718,15961,0
0.9206666666666666,33774,0
0.738,49590,0
0.7593333333333333,16050,0
0.6933333333333334,19111,0
0.7293333333333333,35336,0
0.7186666666666667,42800,0
0.8526666666666667,51429,0
0.6546666666666666,20447,0
0.8346666666666667,51996,0
0.758,19305,0
0.9006666666666666,14377,0
0.7913333333333333,33430,0
0.7893333333333333,0,0
0.3313333333333333,0,0
0.7433333333333333,38028,0
0.7773333333333333,15878,0
0.52,25436,0
0.826,35236,0
0.632,21321,0
0.9006666666666666,44517,0
0.8826666666666667,45084,0
1.0373333333333334,25221,0
0.47,29183,0
1.0806666666666667,14282,0
0.8846666666666667,24172,0
0.832,33430,0
0.648,21316,0
0.7333333333333333,33186,0
0.8006666666666666,16155,0
0.8133333333333334,49125,0
0.694,21215,0
0.9873333333333333,41319,0
0.7106666666666667,34130,0
0.606,42924,0
0.828,33916,0
0.7733333333333333,0,0
0.8673333333333333,38650,0
0.956,0,0
0.9213333333333333,28084,0
0.632,22180,0
0.844,33900,0
0.8513333333333334,31418,0
1.0846666666666667,3504,0
0.7666666666666667,42624,0
0.9853333333333333,8774,0
1.072,18900,0
0.472,26121,0
1.0606666666666666,30117,0
0.95,16528,0
0.7973333333333333,26850,0
0.836,43935,0
0.7086666666666667,37948,0
0.9693333333333334,9382,0
0.8626666666666667,30896,0
1.0126666666666666,37029,0
0.638,44140,0
0.8106666666666666,26412,0
0.7613333333333333,14555,0
0.81,34294,0
0.752,15689,0
0.9353333333333333,12521,0
0.412,28664,0
0.9613333333333334,12796,0
0.5726666666666667,26350,0
0.6293333333333333,47520,0
0.9346666666666666,23796,0
0.422,31487,0
0.16666666666666666,0,0
0.568,24489,0
0.7066666666666667,40040,0
0.5866666666666667,28548,0
0.3953333333333333,0,0
0.8146666666666667,38016,0
1.12,14292,0
1.0126666666666666,7976,0
1.0873333333333333,10394,0
1.114,21770,0
0.8246666666666667,38670,0
1.168,11204,0
0.7986666666666666,37232,0
0.8626666666666667,34928,0
0.52,23817,0
0.886,22864,0
0.938,30244,0
0.6013333333333334,43064,0
0.6793333333333333,41264,0
0.9966666666666667,33573,0
0.8706666666666667,24564,0
0.796,56004,0
0.8026666666666666,36776,0
0.814,55437,0
0.552,22881,0
0.9626666666666667,40404,0
0.5446666666666666,0,0
0.7173333333333334,16802,0
0.8166666666666667,31892,0
1.122,8168,0
0.476,25496,0
1.03,36248,0
0.23066666666666666,0,0
0.8893333333333333,12622,0
1.2766666666666666,2488,0
0.8093333333333333,52083,0
0.5126666666666667,54896,0
0.7453333333333333,61587,0
0.4673333333333333,27805,0
0.4033333333333333,28957,0
1.104,25899,0
0.8373333333333334,14719,0
1.062,20403,0
0.17266666666666666,39005,0
1.062,13254,0
0.6926666666666667,35644,0
